"","A","B","Appearance","Ethics","Intelligence","Kindness","Wealth","compatibility"
"235","Mare","Boar",75,66.6666666666667,100,83.3333333333333,100,83.9378327485388
"236","Mare","Buck",67.3202614379085,100,100,90,94.4444444444444,89.4361187503752
"237","Mare","Bull",50.9803921568627,83.3333333333333,100,90,100,82.5073972169732
"238","Mare","Cob",67.3202614379085,90,87.5,80,94.4444444444444,83.2784343808237
"239","Mare","Cow",41.1764705882353,80.7692307692308,75.4901960784314,80,100,72.5395941053489
"240","Mare","Doe",54.5454545454545,80.7692307692308,100,83.3333333333333,100,81.839817678054
"241","Mare","Dog",41.1764705882353,100,100,80,100,80.0843806333988
"242","Mare","Drake",69.6969696969697,100,100,90,100,91.0943164012179
"243","Mare","Duck",50.9803921568627,80.0796812749004,100,60.1593625498008,100,75.5171770043283
"244","Mare","Gander",45.4545454545455,23.0769230769231,100,42.3076923076923,100,53.6333484462274
"245","Mare","Goose",69.6969696969697,90,87.5,90,83.3333333333333,83.7346374740678
"246","Mare","Hen",75,61.5384615384615,79.1666666666667,83.3333333333333,69.6969696969697,73.3426472547575
"247","Mare","Lioness",54.5454545454545,100,90,80,100,82.9503479961507
"248","Mare","Pen",50.9803921568627,83.3333333333333,75.4901960784314,83.3333333333333,94.4444444444444,75.9314214267536
"249","Mare","Ram",54.5454545454545,80.7692307692308,100,61.5384615384615,69.6969696969697,71.659373771285
"250","Mare","Rooster",50.9803921568627,40.2390438247012,100,90,100,71.3277733381216
"251","Mare","Tigress",50.199203187251,83.3333333333333,100,100,100,84.0046091518432
"252","Mare","Whale",50.9803921568627,83.3333333333333,90,100,100,82.5073972169732
"253","Pen","Boar",99.5098039215686,87.5,100,100,100,97.2690747353297
"254","Pen","Buck",75,83.3333333333333,75.4901960784314,83.3333333333333,100,82.9693838519542
"255","Pen","Bull",87.5,100,75.4901960784314,83.3333333333333,75,83.7829648431002
"256","Pen","Cob",87.5,83.3333333333333,75.4901960784314,83.3333333333333,75,80.7829066648329
"257","Pen","Cow",67.5,100,100,83.3333333333333,100,89.1301228983002
"258","Pen","Doe",75,100,75.4901960784314,100,91.6666666666667,87.7066758408722
"259","Pen","Dog",67.5,90,100,83.3333333333333,100,87.2716138729032
"260","Pen","Drake",79.1666666666667,90,87.5,83.3333333333333,100,87.724789571422
"261","Pen","Duck",87.5,100,77.2727272727273,75.4901960784314,83.3333333333333,84.2846951185776
"262","Pen","Gander",72.5,37.5,100,58.3333333333333,72.2222222222222,64.8322931515543
"263","Pen","Goose",79.1666666666667,100,100,83.3333333333333,100,92.0178798528601
"264","Pen","Hen",26.4705882352941,79.1666666666667,100,100,100,73.1578932252175
"265","Pen","Lioness",95.8333333333333,83.3333333333333,60.7843137254902,83.3333333333333,94.4444444444444,82.4943884278545
"266","Pen","Mare",50.9803921568627,83.3333333333333,75.4901960784314,83.3333333333333,94.4444444444444,75.9314214267536
"267","Pen","Ram",75,96.6666666666667,75.4901960784314,79.1666666666667,100,84.5968483726747
"268","Pen","Rooster",75,50.9803921568627,87.5,100,94.4444444444444,79.4199813808701
"269","Pen","Tigress",79.1666666666667,100,77.2727272727273,100,100,90.6387108520033
"270","Pen","Whale",75,90,60.7843137254902,100,100,83.6794964488911
"271","Ram","Boar",97.7272727272727,93.3333333333333,100,79.1666666666667,100,93.695553906036
"272","Ram","Buck",91.6666666666667,80.7692307692308,100,61.5384615384615,100,85.4517190843799
"273","Ram","Bull",79.1666666666667,96.6666666666667,100,61.5384615384615,50.9803921568627,75.1750597224381
"274","Ram","Cob",95.8333333333333,80,87.5,61.5384615384615,50.9803921568627,73.2205333750526
"275","Ram","Cow",62.5,90,75.4901960784314,61.5384615384615,100,76.4595861458223
"276","Ram","Doe",75,90,100,79.1666666666667,54.5454545454545,78.1485527182527
"277","Ram","Dog",62.5,83.3333333333333,100,61.5384615384615,100,79.6469374580556
"278","Ram","Drake",87.5,83.3333333333333,100,61.5384615384615,100,85.1911906998619
"279","Ram","Duck",79.1666666666667,81.8181818181818,100,100,67.3202614379085,84.7047169361747
"280","Ram","Gander",67.5,60,100,70.8333333333333,66.7994687915007,71.8609811205636
"281","Ram","Goose",87.5,99.2307692307692,87.5,61.5384615384615,100,85.8938006122316
"282","Ram","Hen",31.8181818181818,80,79.1666666666667,79.1666666666667,100,69.2739597496796
"283","Ram","Lioness",87.5,80.7692307692308,90,61.5384615384615,69.6969696969697,77.1207790474949
"284","Ram","Mare",54.5454545454545,80.7692307692308,100,61.5384615384615,69.6969696969697,71.659373771285
"285","Ram","Pen",75,96.6666666666667,75.4901960784314,79.1666666666667,100,84.5968483726747
"286","Ram","Rooster",75,45.4545454545455,100,75.9615384615385,69.6969696969697,71.0050513995134
"287","Ram","Tigress",75.9615384615385,96.6666666666667,100,75.9615384615385,100,88.9800917922886
"288","Ram","Whale",75,80,90,79.1666666666667,100,84.3698396709548
"289","Rooster","Boar",99.5098039215686,67.3202614379085,100,100,100,92.3001342860976
"290","Rooster","Buck",75,40.2390438247012,100,90,94.4444444444444,76.1772987119211
"291","Rooster","Bull",87.5,50.9803921568627,100,90,100,83.3164480606487
"292","Rooster","Cob",87.5,40.2390438247012,99.5098039215686,90,94.4444444444444,78.4852598185767
"293","Rooster","Cow",67.5,54.5454545454545,87.5,90,100,78.0661173525094
"294","Rooster","Doe",75,54.5454545454545,100,100,100,83.6303598933
"295","Rooster","Dog",67.5,41.1764705882353,100,90,100,75.7947422081854
"296","Rooster","Drake",79.1666666666667,41.1764705882353,100,90,100,78.2504416598794
